,pref,pref_id,loss_from_2019,final_date_month,state_of_emergency,second,cases_per_population,deaths_per_population,average_temperature,unemployment_rate_percent,over_age65_population,population_2019,area_ha,population_per_density_per_ha,cases_lag,deaths_lag
149,茨城県,8,0.3044,2020/5/31,1,0,0.174825174825175,0.104895104895105,18.5,2.5,843000,2860000,609739,5,4.86013986013986,0.244755244755245
150,栃木県,9,0.32,2020/5/31,1,1,0.568769389865564,0,18.7,2.5,554000,1934000,640809,3,2.06825232678387,0
151,群馬県,10,0.3244,2020/5/31,1,0,0.154479917610711,0.154479917610711,19.5,2.1,580000,1942000,636228,3,6.53964984552008,0.772399588053553
152,埼玉県,11,0.353,2020/5/31,1,1,1.91836734693878,0.19047619047619,19.5,3.1,1961000,7350000,379775,19,10.3265306122449,0.435374149659864
153,千葉県,12,0.3471,2020/5/31,1,1,1.02252756031315,0.207700910688608,19.7,2.8,1743000,6259000,515760,12,10.592746445119,0.495286787026682
154,東京都,13,0.3509,2020/5/31,1,1,6.87450614180016,1.32892751957474,19.5,3.2,3209000,13921000,219407,63,26.9233532073845,0.747072767760937
155,神奈川県,14,0.3793,2020/5/31,1,1,3.73994346597086,0.565340291367689,19.7,3.1,2329000,9198000,241630,38,9.57816916721026,0.30441400304414
156,山梨県,19,0.2258,2020/5/31,1,0,1.35635018495684,0.123304562268804,19.8,2.2,250000,811000,446527,2,5.79531442663379,0
157,新潟県,15,0.434,2020/5/31,1,0,0.314889788573999,0,17.2,2.3,720000,2223000,1258424,2,1.97930724246514,0
158,富山県,16,0.288,2020/5/31,1,0,2.58620689655172,1.24521072796935,18.7,1.9,337000,1044000,424759,2,18.9655172413793,0.862068965517241
159,石川県,17,0.2184,2020/5/31,1,0,4.13005272407733,1.49384885764499,18.5,1.9,337000,1138000,418605,3,20.9138840070299,0.70298769771529
160,長野県,20,0.285,2020/5/31,1,0,0.488042947779405,0,17.7,2.1,653000,2049000,1356156,2,2.83064909712055,0
161,福井県,18,0.3239,2020/5/31,1,0,0,0,18.7,1.4,235000,768000,419052,2,13.28125,1.04166666666667
162,岐阜県,21,0.3744,2020/5/31,1,1,0.0503271263210871,0.0503271263210871,20.4,1.6,599000,1987000,1062129,2,6.19023653749371,0.301962757926522
163,静岡県,22,0.3352,2020/5/31,1,0,0.109769484083425,0,20.3,2.4,1089000,3644000,777735,5,1.67398463227223,0.0274423710208562
164,愛知県,23,0.3265,2020/5/31,1,1,0.317796610169492,0.0132415254237288,20.6,2.3,1892000,7552000,517306,15,4.0916313559322,0.185381355932203
165,三重県,24,0.4137,2020/5/31,1,0,0,0,20.2,1.6,530000,1781000,577445,3,1.90903986524424,0.0561482313307131
166,滋賀県,25,0.3421,2020/5/31,1,0,0.353606789250354,0,19,2.3,368000,1414000,401738,4,6.22347949080622,0.0707213578500707
167,京都府,26,0.1402,2020/5/31,1,1,1.47115756871854,0.2710027100271,20.6,2.6,753000,2583000,461220,6,9.7173828881146,0.387146728610143
168,大阪府,27,0.4104,2020/5/31,1,1,1.79362016119877,0.476785106141446,20.8,3.3,2434000,8809000,190529,46,15.6771483709842,0.442729027131343
169,兵庫県,28,0.4121,2020/5/31,1,1,0.969630442736919,0.274423710208562,20.6,2.8,1591000,5466000,840094,7,9.11086717892426,0.292718624222466
170,奈良県,29,0.3737,2020/5/31,1,0,0.601503759398496,0.075187969924812,19.9,2.6,417000,1330000,369094,4,5.18796992481203,0.075187969924812
171,和歌山県,30,0.3894,2020/5/31,1,0,0.108108108108108,0.108108108108108,20.5,2.3,306000,925000,472465,2,4.75675675675676,0.108108108108108
172,鳥取県,31,0.3588,2020/5/31,1,0,0,0,18.7,2.6,178000,556000,350714,2,0.539568345323741,0
173,島根県,32,0.3579,2020/5/31,1,0,0.148367952522255,0,18.4,0.8,231000,674000,670807,1,3.41246290801187,0
174,岡山県,33,0.4392,2020/5/31,1,0,0.105820105820106,0,20.1,2.1,573000,1890000,711433,3,1.00529100529101,0
175,広島県,34,0.4075,2020/5/31,1,0,0.427960057061341,0.0356633380884451,20.3,2.4,823000,2804000,847964,3,5.31383737517832,0.0713266761768902
176,山口県,35,0.4631,2020/5/31,1,0,0.368188512518409,0,19.7,2,466000,1358000,611253,2,1.91458026509573,0
