,country_name,year,v2x_polyarchy,v2mecenefm,v2exl_legitideol,v2cvgovres_0,v2cvgovres_1,v2cvgovres_2,v2cvgovres_3,v2cvgovres_4,v2cvgovres_5,v2cvgovres_6,v2cvgovres_nr
39,Nigeria,2019,0.524,1.497,-0.133,NA,NA,NA,NA,NA,NA,NA,NA
40,Philippines,2019,0.465,0.449,-0.841,NA,NA,NA,NA,NA,NA,NA,NA
41,Tanzania,2019,0.414,-0.019,0.298,NA,NA,NA,NA,NA,NA,NA,NA
42,Taiwan,2019,0.829,1.558,-1.188,NA,NA,NA,NA,NA,NA,NA,NA
43,Thailand,2019,0.2,-0.484,1.391,NA,NA,NA,NA,NA,NA,NA,NA
44,Uganda,2019,0.302,0.28,0.515,NA,NA,NA,NA,NA,NA,NA,NA
45,Venezuela,2019,0.209,-1.988,3.217,NA,NA,NA,NA,NA,NA,NA,NA
46,Benin,2019,0.502,0.636,-0.827,NA,NA,NA,NA,NA,NA,NA,NA
47,Bhutan,2019,0.549,1.22,0.348,NA,NA,NA,NA,NA,NA,NA,NA
48,Burkina Faso,2019,0.709,1.726,-0.728,NA,NA,NA,NA,NA,NA,NA,NA
49,Cambodia,2019,0.199,-1.438,0.057,NA,NA,NA,NA,NA,NA,NA,NA
50,Indonesia,2019,0.614,1.272,-0.597,NA,NA,NA,NA,NA,NA,NA,NA
51,Mozambique,2019,0.397,0.362,-0.252,NA,NA,NA,NA,NA,NA,NA,NA
52,Nepal,2019,0.581,1.292,0.146,NA,NA,NA,NA,NA,NA,NA,NA
53,Nicaragua,2019,0.235,-1.564,1.319,NA,NA,NA,NA,NA,NA,NA,NA
54,Niger,2019,0.52,1.786,-0.977,NA,NA,NA,NA,NA,NA,NA,NA
55,Zambia,2019,0.342,-0.979,-0.397,NA,NA,NA,NA,NA,NA,NA,NA
56,Zimbabwe,2019,0.297,-0.326,0.823,NA,NA,NA,NA,NA,NA,NA,NA
57,Guinea,2019,0.419,1.075,-0.411,NA,NA,NA,NA,NA,NA,NA,NA
58,Ivory Coast,2019,0.536,0.104,-0.954,NA,NA,NA,NA,NA,NA,NA,NA
59,Mauritania,2019,0.403,0.971,-1.756,NA,NA,NA,NA,NA,NA,NA,NA
60,Canada,2019,0.853,3.107,-1.508,NA,NA,NA,NA,NA,NA,NA,NA
61,Australia,2019,0.836,2.552,-0.403,NA,NA,NA,NA,NA,NA,NA,NA
62,Botswana,2019,0.669,1.786,-1.218,NA,NA,NA,NA,NA,NA,NA,NA
63,Burundi,2019,0.159,-2.209,-1.359,NA,NA,NA,NA,NA,NA,NA,NA
64,Cape Verde,2019,0.768,0.925,-1.965,NA,NA,NA,NA,NA,NA,NA,NA
65,Central African Republic,2019,0.384,0.637,0.672,NA,NA,NA,NA,NA,NA,NA,NA
66,Chile,2019,0.813,1.33,-0.948,NA,NA,NA,NA,NA,NA,NA,NA
67,Costa Rica,2019,0.899,2.313,-1.05,NA,NA,NA,NA,NA,NA,NA,NA
68,Timor-Leste,2019,0.677,1.276,0.13,NA,NA,NA,NA,NA,NA,NA,NA
69,Ecuador,2019,0.649,1.114,-1.702,NA,NA,NA,NA,NA,NA,NA,NA
70,France,2019,0.877,2.557,-1.319,NA,NA,NA,NA,NA,NA,NA,NA
71,Germany,2019,0.883,2.78,-2.612,NA,NA,NA,NA,NA,NA,NA,NA
72,Guatemala,2019,0.586,0.666,-0.3,NA,NA,NA,NA,NA,NA,NA,NA
73,Iran,2019,0.208,-1.304,2.572,NA,NA,NA,NA,NA,NA,NA,NA
74,Iraq,2019,0.381,0.214,0.93,NA,NA,NA,NA,NA,NA,NA,NA
75,Ireland,2019,0.878,2.199,-1.749,NA,NA,NA,NA,NA,NA,NA,NA
76,Italy,2019,0.86,2.783,-1.338,NA,NA,NA,NA,NA,NA,NA,NA
77,Jordan,2019,0.27,-0.808,-0.332,NA,NA,NA,NA,NA,NA,NA,NA
78,Latvia,2019,0.828,2.677,-1.155,NA,NA,NA,NA,NA,NA,NA,NA
79,Lesotho,2019,0.63,1.336,-1.006,NA,NA,NA,NA,NA,NA,NA,NA
80,Liberia,2019,0.609,0.578,-0.366,NA,NA,NA,NA,NA,NA,NA,NA
81,Malawi,2019,0.476,0.719,-1.946,NA,NA,NA,NA,NA,NA,NA,NA
82,Maldives,2019,0.501,1.074,0.965,NA,NA,NA,NA,NA,NA,NA,NA
83,Mongolia,2019,0.645,1.983,-1.146,NA,NA,NA,NA,NA,NA,NA,NA
84,Morocco,2019,0.288,-0.205,0.078,NA,NA,NA,NA,NA,NA,NA,NA
85,Netherlands,2019,0.876,2.714,-2.07,NA,NA,NA,NA,NA,NA,NA,NA
86,Panama,2019,0.764,1.003,-2.342,NA,NA,NA,NA,NA,NA,NA,NA
87,Papua New Guinea,2019,0.416,0.918,-1.505,NA,NA,NA,NA,NA,NA,NA,NA
88,Qatar,2019,0.081,-0.979,1.052,NA,NA,NA,NA,NA,NA,NA,NA
89,Sierra Leone,2019,0.571,1.879,-1.1,NA,NA,NA,NA,NA,NA,NA,NA
90,Spain,2019,0.877,2.055,-1.655,NA,NA,NA,NA,NA,NA,NA,NA
91,Syria,2019,0.138,-2.763,1.857,NA,NA,NA,NA,NA,NA,NA,NA
92,Tunisia,2019,0.735,1.774,-0.69,NA,NA,NA,NA,NA,NA,NA,NA
93,Turkey,2019,0.279,-1.001,1.576,NA,NA,NA,NA,NA,NA,NA,NA
94,Ukraine,2019,0.494,1.06,-0.578,NA,NA,NA,NA,NA,NA,NA,NA
95,United Kingdom,2019,0.873,2.441,-1.197,NA,NA,NA,NA,NA,NA,NA,NA
96,Uruguay,2019,0.889,2.338,-2.099,NA,NA,NA,NA,NA,NA,NA,NA
97,Algeria,2019,0.292,-0.903,0.915,NA,NA,NA,NA,NA,NA,NA,NA
98,Angola,2019,0.362,0.285,0.375,NA,NA,NA,NA,NA,NA,NA,NA
99,Armenia,2019,0.799,1.538,-1.392,NA,NA,NA,NA,NA,NA,NA,NA
100,Azerbaijan,2019,0.196,-1.592,0.302,NA,NA,NA,NA,NA,NA,NA,NA
101,Belarus,2019,0.255,-1.891,0.963,NA,NA,NA,NA,NA,NA,NA,NA
102,Cameroon,2019,0.292,0.001,0.58,NA,NA,NA,NA,NA,NA,NA,NA
103,Chad,2019,0.269,-1.783,-0.987,NA,NA,NA,NA,NA,NA,NA,NA
104,China,2019,0.075,-2.078,2.937,NA,NA,NA,NA,NA,NA,NA,NA
105,Democratic Republic of the Congo,2019,0.349,-0.52,-1.563,NA,NA,NA,NA,NA,NA,NA,NA
106,Republic of the Congo,2019,0.24,-1.849,-1.62,NA,NA,NA,NA,NA,NA,NA,NA
107,Djibouti,2019,0.257,-0.816,-0.592,NA,NA,NA,NA,NA,NA,NA,NA
108,Dominican Republic,2019,0.521,0.396,-1.273,NA,NA,NA,NA,NA,NA,NA,NA
109,Eritrea,2019,0.07,-2.639,2.285,NA,NA,NA,NA,NA,NA,NA,NA
110,Gabon,2019,0.385,0.173,-0.221,NA,NA,NA,NA,NA,NA,NA,NA
111,The Gambia,2019,0.532,1.163,-0.966,NA,NA,NA,NA,NA,NA,NA,NA
112,Georgia,2019,0.644,1.33,-1.393,NA,NA,NA,NA,NA,NA,NA,NA
113,Guinea-Bissau,2019,0.533,0.171,-1.137,NA,NA,NA,NA,NA,NA,NA,NA
114,Jamaica,2019,0.806,2.178,0.517,NA,NA,NA,NA,NA,NA,NA,NA
115,Kazakhstan,2019,0.235,-1.459,-0.738,NA,NA,NA,NA,NA,NA,NA,NA
116,Kyrgyzstan,2019,0.43,0.574,-2.144,NA,NA,NA,NA,NA,NA,NA,NA
117,Laos,2019,0.123,-2.644,1.283,NA,NA,NA,NA,NA,NA,NA,NA
118,Libya,2019,0.271,1.119,-0.963,NA,NA,NA,NA,NA,NA,NA,NA
119,Madagascar,2019,0.487,1.046,-1.327,NA,NA,NA,NA,NA,NA,NA,NA
120,Moldova,2019,0.602,1.651,-1.311,NA,NA,NA,NA,NA,NA,NA,NA
121,Namibia,2019,0.688,0.947,0.212,NA,NA,NA,NA,NA,NA,NA,NA
122,Palestine/West Bank,2019,0.275,-0.513,-1.174,NA,NA,NA,NA,NA,NA,NA,NA
123,Rwanda,2019,0.217,0.4,1.846,NA,NA,NA,NA,NA,NA,NA,NA
124,Somalia,2019,0.156,-0.287,-0.818,NA,NA,NA,NA,NA,NA,NA,NA
125,Sri Lanka,2019,0.59,0.684,1.316,NA,NA,NA,NA,NA,NA,NA,NA
126,Eswatini,2019,0.135,-1.288,3.107,NA,NA,NA,NA,NA,NA,NA,NA
127,Tajikistan,2019,0.166,-1.952,1.582,NA,NA,NA,NA,NA,NA,NA,NA
128,Togo,2019,0.379,-0.211,-1.712,NA,NA,NA,NA,NA,NA,NA,NA
129,Trinidad and Tobago,2019,0.755,1.76,-1.499,NA,NA,NA,NA,NA,NA,NA,NA
130,Turkmenistan,2019,0.15,-2.613,2.07,NA,NA,NA,NA,NA,NA,NA,NA
131,Palestine/Gaza,2019,0.125,-0.888,0.318,NA,NA,NA,NA,NA,NA,NA,NA
132,Somaliland,2019,0.402,0.542,0.374,NA,NA,NA,NA,NA,NA,NA,NA
133,Uzbekistan,2019,0.195,-1.068,0.374,NA,NA,NA,NA,NA,NA,NA,NA
134,Austria,2019,0.849,1.827,-0.77,NA,NA,NA,NA,NA,NA,NA,NA
135,Bahrain,2019,0.118,-2.305,1.373,NA,NA,NA,NA,NA,NA,NA,NA
136,Barbados,2019,0.785,1.75,0.311,NA,NA,NA,NA,NA,NA,NA,NA
137,Belgium,2019,0.889,3.511,-1.868,NA,NA,NA,NA,NA,NA,NA,NA
